id_segmentasi,id_tenant,txt_latar_belakang,txt_noble_purpose,txt_konsumen,txt_produk_inovatif,txt_strategi_pemasaran,txt_sumber_daya,txt_keuangan_narrative,txt_rab_narrative,parsing_status,full_proposal,feat_completeness_latar_belakang,feat_completeness_deskripsi_usaha,feat_completeness_rab,feat_depth_latar_belakang,feat_depth_deskripsi_usaha,feat_depth_rab,feat_keywords_latar_belakang,feat_keywords_deskripsi_usaha,feat_keywords_rab,feat_numerical_latar_belakang,feat_numerical_deskripsi_usaha,feat_numerical_rab,feat_structure_latar_belakang,feat_structure_deskripsi_usaha,feat_structure_rab,skor_latar_belakang,skor_deskripsi_usaha,skor_rab,bobot_latar_belakang,bobot_deskripsi_usaha,bobot_rab,nilai_total_akhir,rekomendasi_sistem,waktu_penilaian,id_penilaian
33,33,Sulit mencari mentor skripsi yang satu frekuensi riset.,Mempercepat kelulusan mahasiswa tingkat akhir.,Mahasiswa semester akhir.,Platform matchmaking dosen-mahasiswa berdasarkan minat riset seperti Tinder tapi buat skripsi .,Sosialisasi ke prodi.,Algoritma matching.,Freemium model.,Marketing kampus.,Success,[LATAR BELAKANG] Sulit mencari mentor skripsi yang satu frekuensi riset. [SEP] [NOBLE PURPOSE] Mempercepat kelulusan mahasiswa tingkat akhir. [SEP] [KONSUMEN] Mahasiswa semester akhir. [SEP] [PRODUK INOVATIF] Platform matchmaking dosen-mahasiswa berdasarkan minat riset seperti Tinder tapi buat skripsi . [SEP] [STRATEGI PEMASARAN] Sosialisasi ke prodi. [SEP] [SUMBER DAYA] Algoritma matching. [SEP] [KEUANGAN NARRATIVE] Freemium model. [SEP] [RAB NARRATIVE] Marketing kampus.,100.0,16.666666666666664,0.0,23.8,30.45,21.7,0.0,2.0408163265306123,0.0,0.0,0.0,0.0,30,45,30,34.26,17.52,8.84,1.71,14.89,0.88,17.48,Ditolak,2025-12-16 11:08:48,33
34,34,Limbah kulit kerang di pantai Cirebon menumpuk bau.,Ekonomi kreatif pesisir.,Turis dan dekorator interior.,Kerajinan lampu hias dari kulit kerang dan resin.,Toko oleh-oleh Cirebon.,Pengrajin lokal.,Margin 100 .,Bahan resin dan katalis.,Success,[LATAR BELAKANG] Limbah kulit kerang di pantai Cirebon menumpuk bau. [SEP] [NOBLE PURPOSE] Ekonomi kreatif pesisir. [SEP] [KONSUMEN] Turis dan dekorator interior. [SEP] [PRODUK INOVATIF] Kerajinan lampu hias dari kulit kerang dan resin. [SEP] [STRATEGI PEMASARAN] Toko oleh-oleh Cirebon. [SEP] [SUMBER DAYA] Pengrajin lokal. [SEP] [KEUANGAN NARRATIVE] Margin 100 . [SEP] [RAB NARRATIVE] Bahan resin dan katalis.,100.0,0.0,0.0,23.8,29.049999999999997,22.4,0.0,2.0408163265306123,0.0,0.0,33.0,0.0,30,45,30,34.26,18.02,8.98,1.71,15.32,0.9,17.93,Ditolak,2025-12-16 11:08:48,34
35,35,Anak kos sering bingung mau masak apa dengan bahan sisa di kulkas.,Menghemat pengeluaran makan anak kos.,Anak kos.,"App MasakApa . Foto isi kulkas, AI rekomendasikan resep yang bisa dibuat.",TikTok konten masak simple.,Database resep masakan indonesia.,Iklan bumbu masak di dalam aplikasi.,API Image Recognition.,Success,"[LATAR BELAKANG] Anak kos sering bingung mau masak apa dengan bahan sisa di kulkas. [SEP] [NOBLE PURPOSE] Menghemat pengeluaran makan anak kos. [SEP] [KONSUMEN] Anak kos. [SEP] [PRODUK INOVATIF] App MasakApa . Foto isi kulkas, AI rekomendasikan resep yang bisa dibuat. [SEP] [STRATEGI PEMASARAN] TikTok konten masak simple. [SEP] [SUMBER DAYA] Database resep masakan indonesia. [SEP] [KEUANGAN NARRATIVE] Iklan bumbu masak di dalam aplikasi. [SEP] [RAB NARRATIVE] API Image Recognition.",100.0,16.666666666666664,0.0,25.2,32.55,22.05,0.0,0.0,0.0,0.0,0.0,0.0,30,45,30,34.54,17.43,8.91,1.73,14.82,0.89,17.44,Ditolak,2025-12-16 11:08:48,35
36,36,Antrian barbershop sering tidak jelas nunggu berapa lama.,Efisiensi waktu grooming pria.,Pria urban.,Aplikasi booking barbershop real-time.,Kerjasama barbershop lokal.,Sistem POS untuk barber.,Langganan SaaS barbershop.,Tablet android untuk mitra barber.,Success,[LATAR BELAKANG] Antrian barbershop sering tidak jelas nunggu berapa lama. [SEP] [NOBLE PURPOSE] Efisiensi waktu grooming pria. [SEP] [KONSUMEN] Pria urban. [SEP] [PRODUK INOVATIF] Aplikasi booking barbershop real-time. [SEP] [STRATEGI PEMASARAN] Kerjasama barbershop lokal. [SEP] [SUMBER DAYA] Sistem POS untuk barber. [SEP] [KEUANGAN NARRATIVE] Langganan SaaS barbershop. [SEP] [RAB NARRATIVE] Tablet android untuk mitra barber.,100.0,0.0,0.0,23.8,28.0,22.75,0.0,2.0408163265306123,0.0,0.0,0.0,0.0,30,45,30,34.26,12.86,9.05,1.71,10.93,0.91,13.55,Ditolak,2025-12-16 11:08:48,36
37,37,Banyak freelancer tidak punya asuransi kesehatan atau BPJS.,Jaring pengaman sosial pekerja gig economy.,"Freelancer, ojol.",Agregator asuransi mikro ProteksiReceh . Premi mulai 10rb per bulan.,Komunitas freelancer.,Broker asuransi digital.,Komisi penjualan polis.,Legalitas OJK mahal .,Success,"[LATAR BELAKANG] Banyak freelancer tidak punya asuransi kesehatan atau BPJS. [SEP] [NOBLE PURPOSE] Jaring pengaman sosial pekerja gig economy. [SEP] [KONSUMEN] Freelancer, ojol. [SEP] [PRODUK INOVATIF] Agregator asuransi mikro ProteksiReceh . Premi mulai 10rb per bulan. [SEP] [STRATEGI PEMASARAN] Komunitas freelancer. [SEP] [SUMBER DAYA] Broker asuransi digital. [SEP] [KEUANGAN NARRATIVE] Komisi penjualan polis. [SEP] [RAB NARRATIVE] Legalitas OJK mahal .",100.0,16.666666666666664,0.0,23.8,30.1,22.4,0.0,6.122448979591836,0.0,0.0,33.0,0.0,30,45,30,34.26,23.42,8.98,1.71,19.91,0.9,22.52,Ditolak,2025-12-16 11:08:48,37
38,38,Sulit mencari ART atau baby sitter yang terpercaya background check-nya.,Keamanan keluarga.,Keluarga muda bekerja.,Platform penyalur ART BantuRumah dengan verifikasi biometrik dan psikotes.,Komunitas ibu-ibu komplek.,Psikolog untuk screening ART.,Biaya administrasi pengambilan ART.,Sistem database kependudukan.,Success,[LATAR BELAKANG] Sulit mencari ART atau baby sitter yang terpercaya background check-nya. [SEP] [NOBLE PURPOSE] Keamanan keluarga. [SEP] [KONSUMEN] Keluarga muda bekerja. [SEP] [PRODUK INOVATIF] Platform penyalur ART BantuRumah dengan verifikasi biometrik dan psikotes. [SEP] [STRATEGI PEMASARAN] Komunitas ibu-ibu komplek. [SEP] [SUMBER DAYA] Psikolog untuk screening ART. [SEP] [KEUANGAN NARRATIVE] Biaya administrasi pengambilan ART. [SEP] [RAB NARRATIVE] Sistem database kependudukan.,100.0,16.666666666666664,0.0,24.5,29.75,22.05,0.0,2.0408163265306123,0.0,0.0,0.0,0.0,30,45,30,34.4,17.38,8.91,1.72,14.77,0.89,17.38,Ditolak,2025-12-16 11:08:48,38
39,39,"Batik tulis tradisional mahal dan proses lama, anak muda kurang minat.",Regenerasi pembatik muda.,Gen Z.,Batik cap motif pop-culture anime game dengan pewarna alami.,Fashion show indie.,Desainer motif batik.,Jual kemeja batik modern.,Canting cap tembaga custom.,Success,"[LATAR BELAKANG] Batik tulis tradisional mahal dan proses lama, anak muda kurang minat. [SEP] [NOBLE PURPOSE] Regenerasi pembatik muda. [SEP] [KONSUMEN] Gen Z. [SEP] [PRODUK INOVATIF] Batik cap motif pop-culture anime game dengan pewarna alami. [SEP] [STRATEGI PEMASARAN] Fashion show indie. [SEP] [SUMBER DAYA] Desainer motif batik. [SEP] [KEUANGAN NARRATIVE] Jual kemeja batik modern. [SEP] [RAB NARRATIVE] Canting cap tembaga custom.",100.0,16.666666666666664,0.0,24.85,29.4,22.4,0.0,0.0,0.0,0.0,0.0,0.0,30,45,30,34.47,16.8,8.98,1.72,14.28,0.9,16.9,Ditolak,2025-12-16 11:08:48,39
40,40,Belajar ngaji Al-Quran sering terkendala jarak guru ngaji.,Memberantas buta huruf Al-Quran.,Muslim urban.,Aplikasi NgajiOnline . Video call privat dengan ustadz tersertifikasi.,Pengajian perkantoran.,Database ustadz ustadzah.,Paket langganan bulanan.,Server video streaming lancar.,Success,[LATAR BELAKANG] Belajar ngaji Al-Quran sering terkendala jarak guru ngaji. [SEP] [NOBLE PURPOSE] Memberantas buta huruf Al-Quran. [SEP] [KONSUMEN] Muslim urban. [SEP] [PRODUK INOVATIF] Aplikasi NgajiOnline . Video call privat dengan ustadz tersertifikasi. [SEP] [STRATEGI PEMASARAN] Pengajian perkantoran. [SEP] [SUMBER DAYA] Database ustadz ustadzah. [SEP] [KEUANGAN NARRATIVE] Paket langganan bulanan. [SEP] [RAB NARRATIVE] Server video streaming lancar.,100.0,16.666666666666664,0.0,23.8,29.049999999999997,22.4,0.0,0.0,0.0,0.0,0.0,0.0,30,45,30,34.26,16.73,8.98,1.71,14.22,0.9,16.83,Ditolak,2025-12-16 11:08:48,40
41,41,Usaha laundry kiloan sering tertukar bajunya atau hilang.,Profesionalitas bisnis laundry.,Pengusaha laundry.,Sistem POS Laundry dengan tagging QR Code tahan air untuk setiap potong baju.,Asosiasi laundry indonesia.,Software engineer.,Jual paket software printer QR.,Printer thermal khusus kain.,Success,[LATAR BELAKANG] Usaha laundry kiloan sering tertukar bajunya atau hilang. [SEP] [NOBLE PURPOSE] Profesionalitas bisnis laundry. [SEP] [KONSUMEN] Pengusaha laundry. [SEP] [PRODUK INOVATIF] Sistem POS Laundry dengan tagging QR Code tahan air untuk setiap potong baju. [SEP] [STRATEGI PEMASARAN] Asosiasi laundry indonesia. [SEP] [SUMBER DAYA] Software engineer. [SEP] [KEUANGAN NARRATIVE] Jual paket software printer QR. [SEP] [RAB NARRATIVE] Printer thermal khusus kain.,100.0,16.666666666666664,0.0,23.8,30.8,22.4,0.0,0.0,0.0,0.0,0.0,0.0,30,45,30,34.26,17.08,8.98,1.71,14.52,0.9,17.13,Ditolak,2025-12-16 11:08:48,41
42,42,Banyak lahan tidur di perkotaan yang tidak produktif.,Urban farming untuk ketahanan pangan kota.,Warga kota.,Paket instalasi hidroponik KebunAtap terima beres pendampingan sampai panen.,Pameran flora fauna.,Ahli agronomi.,Jasa instalasi dan jual nutrisi AB Mix.,Pipa PVC dan pompa air.,Success,[LATAR BELAKANG] Banyak lahan tidur di perkotaan yang tidak produktif. [SEP] [NOBLE PURPOSE] Urban farming untuk ketahanan pangan kota. [SEP] [KONSUMEN] Warga kota. [SEP] [PRODUK INOVATIF] Paket instalasi hidroponik KebunAtap terima beres pendampingan sampai panen. [SEP] [STRATEGI PEMASARAN] Pameran flora fauna. [SEP] [SUMBER DAYA] Ahli agronomi. [SEP] [KEUANGAN NARRATIVE] Jasa instalasi dan jual nutrisi AB Mix. [SEP] [RAB NARRATIVE] Pipa PVC dan pompa air.,100.0,16.666666666666664,0.0,23.8,31.15,22.75,0.0,0.0,0.0,0.0,0.0,0.0,30,45,30,34.26,17.15,9.05,1.71,14.58,0.91,17.2,Ditolak,2025-12-16 11:08:48,42
43,43,Sering kehilangan helm di parkiran kampus.,Keamanan barang pribadi mahasiswa.,Mahasiswa motoran.,Locker penitipan helm SafeHelm berbasis IoT pakai kartu mahasiswa KTM .,Parkiran kampus.,Mekanik locker.,Sewa locker 2000 per hari.,Pembuatan lemari besi locker.,Success,[LATAR BELAKANG] Sering kehilangan helm di parkiran kampus. [SEP] [NOBLE PURPOSE] Keamanan barang pribadi mahasiswa. [SEP] [KONSUMEN] Mahasiswa motoran. [SEP] [PRODUK INOVATIF] Locker penitipan helm SafeHelm berbasis IoT pakai kartu mahasiswa KTM . [SEP] [STRATEGI PEMASARAN] Parkiran kampus. [SEP] [SUMBER DAYA] Mekanik locker. [SEP] [KEUANGAN NARRATIVE] Sewa locker 2000 per hari. [SEP] [RAB NARRATIVE] Pembuatan lemari besi locker.,0.0,16.666666666666664,0.0,23.1,30.1,22.4,0.0,0.0,0.0,0.0,33.0,0.0,30,45,30,9.12,21.89,8.98,0.46,18.61,0.9,19.97,Ditolak,2025-12-16 11:08:48,43
44,44,Tuna netra kesulitan navigasi di trotoar yang rusak.,Inklusivitas difabel.,Penyandang tuna netra.,Tongkat pintar dengan sensor jarak ultrasonik dan GPS yang tersambung ke earphone.,Yayasan tuna netra.,Riset hardware.,CSR Perusahaan.,Komponen sensor dan mikrokontroler.,Success,[LATAR BELAKANG] Tuna netra kesulitan navigasi di trotoar yang rusak. [SEP] [NOBLE PURPOSE] Inklusivitas difabel. [SEP] [KONSUMEN] Penyandang tuna netra. [SEP] [PRODUK INOVATIF] Tongkat pintar dengan sensor jarak ultrasonik dan GPS yang tersambung ke earphone. [SEP] [STRATEGI PEMASARAN] Yayasan tuna netra. [SEP] [SUMBER DAYA] Riset hardware. [SEP] [KEUANGAN NARRATIVE] CSR Perusahaan. [SEP] [RAB NARRATIVE] Komponen sensor dan mikrokontroler.,100.0,16.666666666666664,0.0,23.8,29.4,22.4,0.0,0.0,0.0,0.0,0.0,0.0,30,45,30,34.26,16.8,8.98,1.71,14.28,0.9,16.89,Ditolak,2025-12-16 11:08:48,44
45,45,Wisatawan asing bingung naik angkot di Bandung.,Mendukung pariwisata lokal.,Backpacker asing.,Peta digital rute angkot Bandung dalam bahasa Inggris terintegrasi Google Maps.,Hostel dan hotel murah.,GIS specialist.,Iklan tempat wisata di peta.,Survey rute angkot manual.,Partial,[LATAR BELAKANG] Wisatawan asing bingung naik angkot di Bandung. [SEP] [NOBLE PURPOSE] Mendukung pariwisata lokal. [SEP] [KONSUMEN] Backpacker asing. [SEP] [PRODUK INOVATIF] Peta digital rute angkot Bandung dalam bahasa Inggris terintegrasi Google Maps. [SEP] [STRATEGI PEMASARAN] Hostel dan hotel murah. [SEP] [SUMBER DAYA] GIS specialist. [SEP] [KEUANGAN NARRATIVE] Iklan tempat wisata di peta. [SEP] [RAB NARRATIVE] Survey rute angkot manual.,0.0,16.666666666666664,0.0,23.45,30.45,22.4,0.0,2.0408163265306123,0.0,0.0,0.0,0.0,30,45,30,9.19,17.52,8.98,0.46,14.89,0.9,16.25,Ditolak,2025-12-16 11:08:48,45
46,46,Peternak ayam broiler sering gagal panen karena suhu kandang tidak stabil.,Efisiensi peternakan ayam.,Peternak ayam mitra plasma.,Smart Kandang. Pengatur suhu dan kelembaban otomatis berbasis IoT.,Koperasi peternak.,Teknisi listrik.,Jual alat dan maintenance.,Blower fan dan heater.,Success,[LATAR BELAKANG] Peternak ayam broiler sering gagal panen karena suhu kandang tidak stabil. [SEP] [NOBLE PURPOSE] Efisiensi peternakan ayam. [SEP] [KONSUMEN] Peternak ayam mitra plasma. [SEP] [PRODUK INOVATIF] Smart Kandang. Pengatur suhu dan kelembaban otomatis berbasis IoT. [SEP] [STRATEGI PEMASARAN] Koperasi peternak. [SEP] [SUMBER DAYA] Teknisi listrik. [SEP] [KEUANGAN NARRATIVE] Jual alat dan maintenance. [SEP] [RAB NARRATIVE] Blower fan dan heater.,100.0,16.666666666666664,0.0,24.85,29.4,22.4,0.0,2.0408163265306123,0.0,0.0,0.0,0.0,30,45,30,34.47,17.31,8.98,1.72,14.71,0.9,17.33,Ditolak,2025-12-16 11:08:48,46
47,47,Konsumsi gula berlebih penyebab diabetes di Indonesia tinggi.,Pencegahan diabetes sejak dini.,Health conscious people.,Stevia cair ManisAlami ekstrak daun stevia lokal tanpa aftertaste pahit.,Toko organik.,Ahli teknologi pangan.,Jual botol tetes.,Ekstraksi daun stevia lab.,Success,[LATAR BELAKANG] Konsumsi gula berlebih penyebab diabetes di Indonesia tinggi. [SEP] [NOBLE PURPOSE] Pencegahan diabetes sejak dini. [SEP] [KONSUMEN] Health conscious people. [SEP] [PRODUK INOVATIF] Stevia cair ManisAlami ekstrak daun stevia lokal tanpa aftertaste pahit. [SEP] [STRATEGI PEMASARAN] Toko organik. [SEP] [SUMBER DAYA] Ahli teknologi pangan. [SEP] [KEUANGAN NARRATIVE] Jual botol tetes. [SEP] [RAB NARRATIVE] Ekstraksi daun stevia lab.,100.0,16.666666666666664,0.0,23.8,29.75,22.4,0.0,2.0408163265306123,0.0,0.0,0.0,0.0,30,45,30,34.26,17.38,8.98,1.71,14.77,0.9,17.38,Ditolak,2025-12-16 11:08:48,47
48,48,Susah cari parkir sepeda yang aman di kantor kampus.,Mendukung gerakan bike to work.,Pesepeda.,Rak parkir sepeda susun otomatis hemat tempat.,Gedung perkantoran.,Insinyur sipil mesin.,Jual ke pengelola gedung.,Konstruksi besi baja.,Success,[LATAR BELAKANG] Susah cari parkir sepeda yang aman di kantor kampus. [SEP] [NOBLE PURPOSE] Mendukung gerakan bike to work. [SEP] [KONSUMEN] Pesepeda. [SEP] [PRODUK INOVATIF] Rak parkir sepeda susun otomatis hemat tempat. [SEP] [STRATEGI PEMASARAN] Gedung perkantoran. [SEP] [SUMBER DAYA] Insinyur sipil mesin. [SEP] [KEUANGAN NARRATIVE] Jual ke pengelola gedung. [SEP] [RAB NARRATIVE] Konstruksi besi baja.,100.0,0.0,0.0,24.15,28.7,22.05,0.0,0.0,0.0,0.0,0.0,0.0,30,45,30,34.33,12.49,8.91,1.72,10.62,0.89,13.23,Ditolak,2025-12-16 11:08:48,48
49,49,Limbah minyak atsiri sereh wangi belum dimaksimalkan.,Hilirisasi komoditas lokal.,Pasar ekspor.,Sabun dan skincare berbahan dasar sereh wangi anti nyamuk.,Pameran ekspor.,Formulator kosmetik.,Margin ekspor tinggi.,Sertifikasi BPOM.,Success,[LATAR BELAKANG] Limbah minyak atsiri sereh wangi belum dimaksimalkan. [SEP] [NOBLE PURPOSE] Hilirisasi komoditas lokal. [SEP] [KONSUMEN] Pasar ekspor. [SEP] [PRODUK INOVATIF] Sabun dan skincare berbahan dasar sereh wangi anti nyamuk. [SEP] [STRATEGI PEMASARAN] Pameran ekspor. [SEP] [SUMBER DAYA] Formulator kosmetik. [SEP] [KEUANGAN NARRATIVE] Margin ekspor tinggi. [SEP] [RAB NARRATIVE] Sertifikasi BPOM.,100.0,16.666666666666664,0.0,23.45,28.35,21.7,0.0,4.081632653061225,0.0,0.0,0.0,0.0,30,45,30,34.19,17.61,8.84,1.71,14.97,0.88,17.56,Ditolak,2025-12-16 11:08:48,49
50,50,Banyak barang elektronik rusak sedikit langsung dibuang e-waste .,Circular economy elektronik.,Masyarakat umum.,Kampanye Repair Cafe . Workshop memperbaiki barang elektronik sendiri dipandu ahli gratis.,Balai warga.,Relawan teknisi.,Jual sparepart dan donasi sukarela.,Tools service set lengkap.,Success,[LATAR BELAKANG] Banyak barang elektronik rusak sedikit langsung dibuang e-waste . [SEP] [NOBLE PURPOSE] Circular economy elektronik. [SEP] [KONSUMEN] Masyarakat umum. [SEP] [PRODUK INOVATIF] Kampanye Repair Cafe . Workshop memperbaiki barang elektronik sendiri dipandu ahli gratis. [SEP] [STRATEGI PEMASARAN] Balai warga. [SEP] [SUMBER DAYA] Relawan teknisi. [SEP] [KEUANGAN NARRATIVE] Jual sparepart dan donasi sukarela. [SEP] [RAB NARRATIVE] Tools service set lengkap.,100.0,16.666666666666664,0.0,24.15,30.1,22.4,0.0,0.0,0.0,0.0,0.0,0.0,30,45,30,34.33,16.94,8.98,1.72,14.4,0.9,17.02,Ditolak,2025-12-16 11:08:48,50
